node,2298686890,1
node,4115057846,1
way,220780316,1
way,220780311,2
way,87102262,9
node,1732564683,1
node,3367156759,1
node,17859918,25
node,3048296942,1
node,3894575819,2
way,400874911,3
way,435724079,1
node,28289985,5
node,4582390873,1
way,462909807,1
way,133599492,11
node,34730631,3
node,34733094,4
node,29546940,22
node,34741297,2
node,34733949,3
node,34736758,3
node,34742713,3
node,34743345,3
node,34740246,4
node,48466175,3
node,48638068,3
node,34746675,4
node,48638720,5
node,40207774,7
node,48702375,2
node,48646193,3
node,48641266,4
node,48653497,4
node,48656213,5
node,48658972,5
node,48698281,6
node,48702465,2
node,48704719,4
node,48709935,6
node,48714460,16
node,48719862,3
node,48717784,7
node,48718610,8
node,111218255,2
node,111227203,2
node,111230515,2
node,111237912,2
node,48721198,3
node,111234009,3
node,111236199,4
node,111239966,2
node,111242581,2
node,111245474,2
node,111240934,3
node,111243636,3
node,111244588,4
node,111252569,1
node,111260330,2
node,111263832,2
node,111267773,2
node,111275465,2
node,111266204,4
node,111278802,2
node,137898019,2
node,137904805,2
node,137918276,3
node,137907145,6
node,137911007,6
node,137970106,1
node,137920339,2
node,137927504,2
node,137929628,2
node,137932850,2
node,137938023,3
node,137966659,3
node,137935064,6
node,137987056,1
node,137991599,1
node,137997198,1
node,137999859,1
node,138027012,1
node,140348905,1
node,138010977,3
node,140352003,3
node,140364932,1
node,140381909,1
node,140386492,1
node,140968976,1
node,140971270,1
node,140973364,1
node,140377142,3
node,140975603,1
node,140986178,1
node,140990184,1
node,140992604,1
node,140994451,1
node,140996661,1
node,140998748,1
node,141008618,1
node,141010721,1
node,140984478,2
node,141008603,2
node,140988379,4
node,140980889,5
node,141051965,1
node,141051973,1
node,141057142,1
node,141083811,1
node,141067933,2
node,141079809,2
node,150935667,2
node,150934610,4
node,150933908,5
node,150936508,4
node,150937894,4
node,150937401,5
node,150939382,2
node,150938746,3
node,150941165,3
node,150939994,6
node,150941747,2
node,150942431,3
node,150943688,4
node,150943340,7
node,150952869,2
node,150956544,3
node,150952726,4
node,150955370,4
node,150946405,5
node,150956984,5
node,150958540,5
node,150958806,7
node,150960215,3
node,150958882,4
node,150960164,4
node,150963633,4
node,150964086,4
node,150964720,3
node,150966349,3
node,150967990,3
node,150964811,6
node,150972572,2
node,150970663,3
node,150970659,4
node,150972576,4
node,150974789,7
node,150975295,2
node,150975181,4
node,150982015,4
node,150979161,5
node,257352077,2
node,257348012,3
node,257350044,3
node,696824105,4
node,2384789783,4
node,486223197,9
node,2638988934,10
node,2863854441,1
node,4394445762,2
way,455112239,1
node,1713093648,1
node,3344490695,2
way,15052364,4
way,251645287,1
node,4536478870,1
node,4536478871,1
node,4536478872,1
way,367488137,3
way,78092221,3
way,236526966,2
node,4437079087,1
node,3260577649,2
node,3392716879,2
node,4077182290,2
node,3204888580,5
node,4360296157,7
node,3575123993,1
node,4422958583,1
node,3782109652,4
node,4307792288,1
way,25395844,19
way,78095818,2
way,78096239,2
relation,225625,12
relation,225635,9
relation,421231,16
relation,443850,21
relation,447057,14
relation,447758,7
relation,452253,8
relation,454406,6
relation,454409,12
relation,548598,4
relation,548600,5
relation,548640,10
relation,548706,5
relation,911601,10
relation,911665,6
relation,1106386,3
relation,1986208,4
relation,2403848,6
relation,2525338,14
relation,2634122,4
relation,2633683,5
relation,2634132,3
relation,2634131,4
relation,2639156,6
relation,2639410,3
relation,2653525,6
relation,3404673,4
relation,3424544,2
relation,3424545,6
relation,3424546,14
relation,3424547,8
relation,3424550,5
relation,3424552,5
relation,3424559,2
relation,3424872,3
relation,3424873,5
relation,3424874,2
relation,3424875,5
relation,3424877,4
relation,3424878,3
relation,3424880,3
relation,3424882,9
relation,3424886,3
relation,3424887,2
relation,3424888,2
relation,3424889,7
relation,3424890,4
relation,3425633,3
relation,3425634,3
relation,3425635,4
relation,3425636,3
relation,3425637,5
relation,3425638,2
relation,3425868,7
relation,3425871,3
relation,3425872,2
relation,3425873,11
relation,3426336,2
relation,3426345,2
relation,3426339,4
relation,3426349,2
relation,3426353,3
relation,3426363,3
relation,3426356,6
relation,3426365,3
relation,3426366,2
relation,3426367,2
relation,3426615,2
relation,3426368,3
relation,3437957,3
relation,3542536,4
relation,3614760,2
relation,3614761,2
relation,3542537,3
relation,3662823,2
relation,3614762,3
relation,3812218,5
relation,3817069,2
relation,3817068,3
relation,3817071,4
relation,3817164,2
relation,3817191,2
relation,3829142,2
relation,3817219,3
relation,3904016,3
relation,3907473,1
relation,3905464,3
relation,3905468,4
relation,3988760,5
relation,4286736,2
relation,4286865,1
relation,4286939,3
relation,4287100,6
relation,4578023,1
relation,4722292,1
relation,4722293,1
relation,5587855,2
relation,5962783,18
relation,6458517,1
relation,5979753,5
relation,6553940,2
relation,6618922,2
node,4505472648,1
node,4505472649,1
node,4505472650,1
node,4505472651,1
node,4505472652,1
way,453872574,1
node,4516496942,1
node,3872938035,11
node,294095100,1
node,294095101,1
